id,name,created_at,updated_at,ancestry
11,トップス,2018-02-01 00:00:00,2018-02-01 00:00:00,1
12,ジャケット/アウター,2018-02-01 00:00:00,2018-02-01 00:00:00,1
13,パンツ,2018-02-01 00:00:00,2018-02-01 00:00:00,1
14,スカート,2018-02-01 00:00:00,2018-02-01 00:00:00,1
15,ワンピース,2018-02-01 00:00:00,2018-02-01 00:00:00,1
16,靴,2018-02-01 00:00:00,2018-02-01 00:00:00,1
17,ルームウェア/パジャマ,2018-02-01 00:00:00,2018-02-01 00:00:00,1
18,レッグウェア,2018-02-01 00:00:00,2018-02-01 00:00:00,1
19,帽子,2018-02-01 00:00:00,2018-02-01 00:00:00,1
20,バッグ,2018-02-01 00:00:00,2018-02-01 00:00:00,1
21,アクセサリー,2018-02-01 00:00:00,2018-02-01 00:00:00,1
22,ヘアアクセサリー,2018-02-01 00:00:00,2018-02-01 00:00:00,1
23,小物,2018-02-01 00:00:00,2018-02-01 00:00:00,1
24,時計,2018-02-01 00:00:00,2018-02-01 00:00:00,1
30,トップス,2018-02-01 00:00:00,2018-02-01 00:00:00,2
31,ジャケット/アウター,2018-02-01 00:00:00,2018-02-01 00:00:00,2
32,パンツ,2018-02-01 00:00:00,2018-02-01 00:00:00,2
33,靴,2018-02-01 00:00:00,2018-02-01 00:00:00,2
34,バッグ,2018-02-01 00:00:00,2018-02-01 00:00:00,2
35,スーツ,2018-02-01 00:00:00,2018-02-01 00:00:00,2
36,帽子,2018-02-01 00:00:00,2018-02-01 00:00:00,2
37,アクセサリー,2018-02-01 00:00:00,2018-02-01 00:00:00,2
38,小物,2018-02-01 00:00:00,2018-02-01 00:00:00,2
39,時計,2018-02-01 00:00:00,2018-02-01 00:00:00,2
40,水着,2018-02-01 00:00:00,2018-02-01 00:00:00,2
41,レッグウェア,2018-02-01 00:00:00,2018-02-01 00:00:00,2
42,アンダーウェア,2018-02-01 00:00:00,2018-02-01 00:00:00,2
43,その他,2018-02-01 00:00:00,2018-02-01 00:00:00,2
44,ベビー服(女の子用) ~95cm,2018-02-01 00:00:00,2018-02-01 00:00:00,3
45,キッズ服(女の子用) 100cm~,2018-02-01 00:00:00,2018-02-01 00:00:00,3
46,キッズ服(男の子用) 100cm~,2018-02-01 00:00:00,2018-02-01 00:00:00,3
47,キッズ服(男女兼用) 100cm~,2018-02-01 00:00:00,2018-02-01 00:00:00,3
48,キッズ靴,2018-02-01 00:00:00,2018-02-01 00:00:00,3
49,子ども用ファッション小物,2018-02-01 00:00:00,2018-02-01 00:00:00,3
50,おむつ/トイレ/バス,2018-02-01 00:00:00,2018-02-01 00:00:00,3
51,外出/移動用品,2018-02-01 00:00:00,2018-02-01 00:00:00,3
52,授乳/食事,2018-02-01 00:00:00,2018-02-01 00:00:00,3
53,ベビー家具/寝具/室内用品,2018-02-01 00:00:00,2018-02-01 00:00:00,3
54,おもちゃ,2018-02-01 00:00:00,2018-02-01 00:00:00,3
55,行事/記念品,2018-02-01 00:00:00,2018-02-01 00:00:00,3
57,キッチン/食器,2018-02-01 00:00:00,2018-02-01 00:00:00,4
58,ベッド/マットレス,2018-02-01 00:00:00,2018-02-01 00:00:00,4
59,ソファ/ソファベッド,2018-02-01 00:00:00,2018-02-01 00:00:00,4
60,椅子/チェア,2018-02-01 00:00:00,2018-02-01 00:00:00,4
61,机/テーブル,2018-02-01 00:00:00,2018-02-01 00:00:00,4
62,収納家具,2018-02-01 00:00:00,2018-02-01 00:00:00,4
63,ラグ/カーペット/マット,2018-02-01 00:00:00,2018-02-01 00:00:00,4
64,カーテン/ブラインド,2018-02-01 00:00:00,2018-02-01 00:00:00,4
65,ライト/照明,2018-02-01 00:00:00,2018-02-01 00:00:00,4
66,寝具,2018-02-01 00:00:00,2018-02-01 00:00:00,4
67,インテリア小物,2018-02-01 00:00:00,2018-02-01 00:00:00,4
68,季節/年中行事,2018-02-01 00:00:00,2018-02-01 00:00:00,4
70,その他,2018-02-01 00:00:00,2018-02-01 00:00:00,4
72,本,2018-02-01 00:00:00,2018-02-01 00:00:00,5
71,漫画,2018-02-01 00:00:00,2018-02-01 00:00:00,5
73,雑誌,2018-02-01 00:00:00,2018-02-01 00:00:00,5
75,CD,2018-02-01 00:00:00,2018-02-01 00:00:00,5
74,DVD/ブルーレイ,2018-02-01 00:00:00,2018-02-01 00:00:00,5
76,テレビゲーム,2018-02-01 00:00:00,2018-02-01 00:00:00,5
83,おもちゃ,2018-02-01 00:00:00,2018-02-01 00:00:00,5
77,タレントグッズ,2018-02-01 00:00:00,2018-02-01 00:00:00,5
82,トレーディングカード,2018-02-01 00:00:00,2018-02-01 00:00:00,5
81,フィギュア,2018-02-01 00:00:00,2018-02-01 00:00:00,5
79,楽器/器材,2018-02-01 00:00:00,2018-02-01 00:00:00,5
114,コレクション,2018-02-01 00:00:00,2018-02-01 00:00:00,5
80,ミリタリー,2018-02-01 00:00:00,2018-02-01 00:00:00,5
84,美術品,2018-02-01 00:00:00,2018-02-01 00:00:00,5
85,アート用品,2018-02-01 00:00:00,2018-02-01 00:00:00,5
86,その他,2018-02-01 00:00:00,2018-02-01 00:00:00,5
88,ベースメイク,2018-02-01 00:00:00,2018-02-01 00:00:00,6
89,ネイルケア,2018-02-01 00:00:00,2018-02-01 00:00:00,6
87,香水,2018-02-01 00:00:00,2018-02-01 00:00:00,6
90,ヘアケア,2018-02-01 00:00:00,2018-02-01 00:00:00,6
91,ボディケア,2018-02-01 00:00:00,2018-02-01 00:00:00,6
92,オーラルケア,2018-02-01 00:00:00,2018-02-01 00:00:00,6
93,リラクゼーション,2018-02-01 00:00:00,2018-02-01 00:00:00,6
94,ダイエット,2018-02-01 00:00:00,2018-02-01 00:00:00,6
95,その他,2018-02-01 00:00:00,2018-02-01 00:00:00,6
100,スマートフォン/携帯電話,2018-02-01 00:00:00,2018-02-01 00:00:00,7
96,PC/タブレット,2018-02-01 00:00:00,2018-02-01 00:00:00,7
97,カメラ,2018-02-01 00:00:00,2018-02-01 00:00:00,7
98,テレビ/映像機器,2018-02-01 00:00:00,2018-02-01 00:00:00,7
99,オーディオ機器,2018-02-01 00:00:00,2018-02-01 00:00:00,7
101,生活家電,2018-02-01 00:00:00,2018-02-01 00:00:00,7
102,その他,2018-02-01 00:00:00,2018-02-01 00:00:00,7
104,スノーボード,2018-02-01 00:00:00,2018-02-01 00:00:00,8
103,その他スポーツ,2018-02-01 00:00:00,2018-02-01 00:00:00,8
105,その他,2018-02-01 00:00:00,2018-02-01 00:00:00,8
106,ファッション/小物,2018-02-01 00:00:00,2018-02-01 00:00:00,9
107,アクセサリー/時計,2018-02-01 00:00:00,2018-02-01 00:00:00,9
108,日用品/インテリア,2018-02-01 00:00:00,2018-02-01 00:00:00,9
109,趣味/おもちゃ,2018-02-01 00:00:00,2018-02-01 00:00:00,9
110,キッズ/ベビー,2018-02-01 00:00:00,2018-02-01 00:00:00,9
111,その他,2018-02-01 00:00:00,2018-02-01 00:00:00,9
1028,音楽 ,2018-02-01 00:00:00,2018-02-01 00:00:00,1027
1037,スポーツ,2018-02-01 00:00:00,2018-02-01 00:00:00,1027
1049,演劇/芸能,2018-02-01 00:00:00,2018-02-01 00:00:00,1027
1059,イベント,2018-02-01 00:00:00,2018-02-01 00:00:00,1027
1064,映画,2018-02-01 00:00:00,2018-02-01 00:00:00,1027
1068,施設利用券,2018-02-01 00:00:00,2018-02-01 00:00:00,1027
1079,優待券/割引券,2018-02-01 00:00:00,2018-02-01 00:00:00,1027
1089,その他,2018-02-01 00:00:00,2018-02-01 00:00:00,1027
1329,自動車本体,2018-02-01 00:00:00,2018-02-01 00:00:00,1318
1330,自動車タイヤ/ホイール,2018-02-01 00:00:00,2018-02-01 00:00:00,1318
946,自動車パーツ,2018-02-01 00:00:00,2018-02-01 00:00:00,1318
115,自動車アクセサリー,2018-02-01 00:00:00,2018-02-01 00:00:00,1318
949,オートバイ車体,2018-02-01 00:00:00,2018-02-01 00:00:00,1318
951,オートバイパーツ,2018-02-01 00:00:00,2018-02-01 00:00:00,1318
116,オートバイアクセサリー,2018-02-01 00:00:00,2018-02-01 00:00:00,1318
1108,まとめ売り,2018-02-01 00:00:00,2018-02-01 00:00:00,10
69,ペット用品,2018-02-01 00:00:00,2018-02-01 00:00:00,10
112,食品,2018-02-01 00:00:00,2018-02-01 00:00:00,10
929,飲料/酒,2018-02-01 00:00:00,2018-02-01 00:00:00,10
113,日用品/生活雑貨/旅行,2018-02-01 00:00:00,2018-02-01 00:00:00,10
1256,アンティーク/コレクション,2018-02-01 00:00:00,2018-02-01 00:00:00,10
1151,文房具/事務用品,2018-02-01 00:00:00,2018-02-01 00:00:00,10
117,事務/店舗用品,2018-02-01 00:00:00,2018-02-01 00:00:00,10
118,その他,2018-02-01 00:00:00,2018-02-01 00:00:00,10
